№ чека;Дата;Время;Товар;Кол-во;Сумма;Способ платежа (нал / безнал);Покупатель;Себестоимость закупки
100000006;12-28-2016;0,599861111;Запонка тип 7, Adidas;1;334.88;наличные;;184
100000023;6-4-2018;0,707349537;Рубашка тип 2, Puma;1;853.632;наличные;ФИО 863;494
100000026;4-3-2017;0,39994213;Ремень тип 2, Reebok;1;423.3504;безналичные;;209
100000048;3-4-2018;0,861863426;Колготки тип 6, Adidas;1;607.608;наличные;;388
100000048;3-4-2018;0,861863426;Штаны тип 8, Puma;1;759.632;наличные;;482
100000048;3-4-2018;0,861863426;Кроссовки тип 5, Reebok;1;1912.704;наличные;;1172
100000048;3-4-2018;0,861863426;Запонка тип 2, Reebok;1;432;наличные;;200
100000057;1-18-2016;0,592372685;Рубашка тип 1, Adidas;1;914.82;наличные;;474
100000057;1-18-2016;0,592372685;Туфли тип 4, Reebok;1;5057.1532;наличные;;3298
100000057;1-18-2016;0,592372685;Кроссовки тип 6, Reebok;2;3933.92;наличные;;2138
100000102;8-13-2017;0,524270833;Кроссовки тип 6, Nike;1;4692.12;наличные;;1923
100000102;8-13-2017;0,524270833;Рубашка тип 6, Puma;1;551.76;наличные;;330
100000102;8-13-2017;0,524270833;Запонка тип 4, Adidas;1;1069.81;наличные;;493
100000102;8-13-2017;0,524270833;Шлёпки тип 3, Nike;1;313.536;наличные;;138
100000102;8-13-2017;0,524270833;Ремень тип 4, Puma;2;861.888;наличные;;536
100000102;8-13-2017;0,524270833;Штаны тип 6, Puma;2;1987.1232;наличные;;1522
100000102;8-13-2017;0,524270833;Шлёпки тип 3, Puma;1;368;наличные;;230
100000102;8-13-2017;0,524270833;Кепка тип 3, Reebok;1;315.57;наличные;;157
100000112;5-8-2018;0,8684375;Майка тип 3, Puma;1;480.6;безналичные;;267
100000118;3-14-2017;0,868518519;Шлёпки тип 2, Nike;1;700.9184;наличные;;332
100000118;3-14-2017;0,868518519;Колготки тип 5, Nike;2;1013.968;наличные;;508
100000127;4-13-2016;0,68880787;Футболка тип 3, Adidas;1;623.28;безналичные;;318
100000132;1-15-2016;0,854791667;Колготки тип 4, Adidas;1;688.2;безналичные;;370
100000139;5-7-2018;0,822962963;Ремень тип 2, Adidas;1;325.95;безналичные;;159
100000151;11-21-2016;0,754837963;Штаны тип 5, Adidas;1;972.37;безналичные;ФИО 1165;479
100000157;6-27-2016;0,771354167;Кроссовки тип 4, Adidas;1;1328.2786;наличные;;739
100000196;7-24-2018;0,668206019;Рубашка тип 2, Reebok;1;554.4;безналичные;;252
100000196;7-24-2018;0,668206019;Колготки тип 5, Nike;1;456.2856;безналичные;;254
100000196;7-24-2018;0,668206019;Кроссовки тип 6, Adidas;1;2087.6544;безналичные;;1224
100000196;7-24-2018;0,668206019;Футболка тип 1, Adidas;1;459.9;безналичные;;219
100000213;4-24-2016;0,416469907;Футболка тип 6, Puma;1;181.28;наличные;;110
100000213;4-24-2016;0,416469907;Штаны тип 6, Nike;1;2298.168;наличные;;1062
