№ чека;Дата;Время;Товар;Кол-во;Сумма;Способ платежа (нал / безнал);Покупатель;Себестоимость закупки
100000010;8-22-2016;0,446296296;Футболка тип 1, Reebok;1;309.68;наличные;ФИО 537;158
100000010;8-22-2016;0,446296296;Туфли тип 4, Reebok;1;6167.26;наличные;ФИО 537;3298
100000012;3-8-2018;0,657951389;Шапка тип 5, Adidas;1;261.4194;наличные;;163
100000012;3-8-2018;0,657951389;Рубашка тип 6, Reebok;1;699.6;наличные;;330
100000013;11-10-2016;0,843703704;Шапка тип 5, Nike;1;454.336;безналичные;;229
100000018;5-12-2017;0,540821759;Майка тип 1, Reebok;2;378.4;наличные;;176
100000018;5-12-2017;0,540821759;Кепка тип 2, Reebok;1;161.007;наличные;;105
100000024;3-9-2017;0,458541667;Запонка тип 5, Puma;1;250.88;наличные;;140
100000030;7-21-2016;0,834259259;Футболка тип 4, Puma;1;297.344;наличные;;184
100000077;6-28-2018;0,603344907;Колготки тип 3, Adidas;2;933.72;безналичные;;502
100000081;4-4-2017;0,549085648;Колготки тип 2, Nike;2;538;наличные;;250
100000081;4-4-2017;0,549085648;Футболка тип 4, Nike;1;594.336;наличные;;246
100000081;4-4-2017;0,549085648;Штаны тип 6, Nike;1;2298.168;наличные;;1062
100000081;4-4-2017;0,549085648;Штаны тип 12, Reebok;2;1085.64;наличные;;498
100000081;4-4-2017;0,549085648;Футболка тип 4, Adidas;1;290.88;наличные;;144
100000083;1-13-2017;0,745150463;Колготки тип 1, Adidas;1;787.5;безналичные;;375
100000083;1-13-2017;0,745150463;Рубашка тип 7, Reebok;1;1310.26;безналичные;;686
100000083;1-13-2017;0,745150463;Рубашка тип 8, Puma;1;475.2;безналичные;;264
100000083;1-13-2017;0,745150463;Колготки тип 6, Nike;1;509.694;безналичные;;255
100000083;1-13-2017;0,745150463;Шлёпки тип 2, Adidas;1;691.9308;безналичные;;346
100000085;11-13-2016;0,547037037;Сапоги тип 1, Adidas;1;7293.79;безналичные;;3593
100000086;10-17-2016;0,699594907;Рубашка тип 2, Nike;1;1951.232;наличные;ФИО 504;824
100000105;2-16-2018;0,491886574;Штаны тип 2, Puma;1;917.9456;наличные;;590
100000105;2-16-2018;0,491886574;Штаны тип 4, Puma;1;1463.048;наличные;;919
100000105;2-16-2018;0,491886574;Штаны тип 2, Reebok;1;335.49;наличные;;159
100000105;2-16-2018;0,491886574;Рубашка тип 3, Nike;1;1424.53352;наличные;;821
100000105;2-16-2018;0,491886574;Шлёпки тип 2, Adidas;1;580.1036;наличные;;346
100000105;2-16-2018;0,491886574;Колготки тип 1, Puma;2;430.992;наличные;;246
